"Term_Code","Term_Desc","Level","CRN","Subject","Number","Section","Session","Course_Status","Title","Meeting_Days","Meeting_Times","Building","Room","Seats_Avail","Start_Date","End_Date","Instructor","course_id","Campus","Delivery_Method","LOCATION"
202620,"Spring Term 2026",Undergraduate,21167,MATH,1113,P07,01,Active,"COLLEGE ALGEBRA",TBA,TBA,"Van Buren High School",VBHS,"-12 / 0 / 99999",1/12/2026,5/6/2026,"Fudge, Danna L.","MATH 1113 P07, CRN-21167",M,,"High School"
202620,"Spring Term 2026",Undergraduate,21925,MATH,1113,P08,01,Active,"COLLEGE ALGEBRA",TBA,TBA,"Greenwood High School",GHS,"4 / 20 / 99999",1/12/2026,5/6/2026,"Billingsley, Daniel W.","MATH 1113 P08, CRN-21925",M,,"High School"
202620,"Spring Term 2026",Undergraduate,21927,MATH,1113,P09,01,Active,"COLLEGE ALGEBRA",TBA,TBA,"Greenwood High School",GHS,"-18 / 0 / 99999",1/12/2026,5/6/2026,"Billingsley, Daniel W.","MATH 1113 P09, CRN-21927",M,,"High School"
202620,"Spring Term 2026",Undergraduate,21929,MATH,1113,P10,01,Active,"COLLEGE ALGEBRA",TBA,TBA,"Greenwood High School",GHS,"-12 / 0 / 99999",1/12/2026,5/6/2026,"Billingsley, Daniel W.","MATH 1113 P10, CRN-21929",M,,"High School"
202620,"Spring Term 2026",Undergraduate,20469,MATH,1113,TC1,01,Active,"COLLEGE ALGEBRA",TBA,TBA,Unassigned,Unassigned,"-5 / 0 / na",1/12/2026,5/6/2026,"Hogan, Jessica L.","MATH 1113 TC1, CRN-20469",M,"Web Only: Incl Proctored Exams","Russellville - Location Indeterminate"
202620,"Spring Term 2026",Undergraduate,20485,MATH,1113,TC2,01,Active,"COLLEGE ALGEBRA",TBA,TBA,Unassigned,Unassigned,"23 / 32 / na",1/12/2026,5/6/2026,"Ballard, Kasey L.","MATH 1113 TC2, CRN-20485",M,"Web Only: Incl Proctored Exams","Russellville - Location Indeterminate"
202620,"Spring Term 2026",Undergraduate,21086,MATH,1203,P01,01,Active,"PLANE TRIGONOMETRY",TBA,TBA,"Alma High School",AHS,"1 / 38 / 99999",1/12/2026,5/6/2026,"Bean, Garin","MATH 1203 P01, CRN-21086",M,,"High School"
202620,"Spring Term 2026",Undergraduate,21129,MATH,1203,P02,01,Active,"PLANE TRIGONOMETRY",TBA,TBA,"Dover High School",DHS,"-2 / 0 / 99999",1/12/2026,5/6/2026,"Sumners, Jon T.","MATH 1203 P02, CRN-21129",M,,"High School"
202620,"Spring Term 2026",Undergraduate,21160,MATH,1203,P03,01,Active,"PLANE TRIGONOMETRY",TBA,TBA,"Russellville High School",RHS,"10 / 81 / 99999",1/12/2026,5/6/2026,"Lachowsky, Jennifer A.","MATH 1203 P03, CRN-21160",M,,"High School"
202620,"Spring Term 2026",Undergraduate,21165,MATH,1203,P04,01,Active,"PLANE TRIGONOMETRY",TBA,TBA,"Valley Christian School",VCS,"3 / 5 / 999",1/12/2026,5/6/2026,"Mashburn, Marlena J.","MATH 1203 P04, CRN-21165",M,,"High School"
202620,"Spring Term 2026",Undergraduate,21169,MATH,1203,P05,01,Active,"PLANE TRIGONOMETRY",TBA,TBA,"Van Buren High School",VBHS,"4 / 41 / 99999",1/12/2026,5/6/2026,"Salyer, Kellie S.","MATH 1203 P05, CRN-21169",M,,"High School"
202620,"Spring Term 2026",Undergraduate,21890,MATH,1203,P06,01,Active,"PLANE TRIGONOMETRY",TBA,TBA,"Greenwood High School",GHS,"1 / 16 / 99999",1/12/2026,5/6/2026,"Holland, Jeremy K.","MATH 1203 P06, CRN-21890",M,,"High School"
202620,"Spring Term 2026",Undergraduate,21891,MATH,1203,P07,01,Active,"PLANE TRIGONOMETRY",TBA,TBA,"Greenwood High School",GHS,"3 / 25 / 99999",1/12/2026,5/6/2026,"Holland, Jeremy K.","MATH 1203 P07, CRN-21891",M,,"High School"
202620,"Spring Term 2026",Undergraduate,21892,MATH,1203,P08,01,Active,"PLANE TRIGONOMETRY",TBA,TBA,"Greenwood High School",GHS,"4 / 24 / 99999",1/12/2026,5/6/2026,"Holland, Jeremy K.","MATH 1203 P08, CRN-21892",M,,"High School"
202620,"Spring Term 2026",Undergraduate,21955,MATH,1203,P09,01,Active,"PLANE TRIGONOMETRY",TBA,TBA,"Van Buren High School",VBHS,"-2 / 67 / 99999",1/12/2026,5/6/2026,"Fudge, Danna L.","MATH 1203 P09, CRN-21955",M,,"High School"
202620,"Spring Term 2026",Undergraduate,20489,MATH,1203,TC1,01,Active,"PLANE TRIGONOMETRY",TBA,TBA,Unassigned,Unassigned,"14 / 25 / na",1/12/2026,5/6/2026,"Bain, Leslie M.","MATH 1203 TC1, CRN-20489",M,"Web Only: Incl Proctored Exams","Russellville - Location Indeterminate"
202620,"Spring Term 2026",Undergraduate,20498,MATH,1914,001,01,Active,PRECALCULUS,MWF,"08:00 am-08:50 am",Corley,101,"13 / 30 / 42",1/12/2026,5/6/2026,"Cox, Allie M.","MATH 1914 001, CRN-20498",M,,"Russellville On-campus"
202620,"Spring Term 2026",Undergraduate,20498,MATH,1914,001,01,Active,PRECALCULUS,T,"09:30 am-10:50 am",Corley,101,"13 / 30 / 42",1/12/2026,5/6/2026,"Cox, Allie M.","MATH 1914 001, CRN-20498",M,,"Russellville On-campus"
202620,"Spring Term 2026",Undergraduate,20486,MATH,1914,003,01,Active,PRECALCULUS,R,"09:30 am-10:50 am",Corley,102,"21 / 30 / 32",1/12/2026,5/6/2026,"Ballard, Kasey L.","MATH 1914 003, CRN-20486",M,,"Russellville On-campus"
202620,"Spring Term 2026",Undergraduate,20486,MATH,1914,003,01,Active,PRECALCULUS,MWF,"10:00 am-10:50 am",Corley,268,"21 / 30 / 36",1/12/2026,5/6/2026,"Ballard, Kasey L.","MATH 1914 003, CRN-20486",M,,"Russellville On-campus"
202620,"Spring Term 2026",Undergraduate,21134,MATH,1914,P01,01,Active,PRECALCULUS,TBA,TBA,"Maumelle Charter High School",MCHS,"0 / 4 / 9999",1/12/2026,5/6/2026,"King, William H.","MATH 1914 P01, CRN-21134",M,,"High School"
202620,"Spring Term 2026",Undergraduate,20456,MATH,2033,001,01,Active,"MATH CONCEPTS I",MWF,"10:00 am-10:50 am",Corley,102,"11 / 25 / 32",1/12/2026,5/6/2026,"Taylor, Teresa L.","MATH 2033 001, CRN-20456",M,,"Russellville On-campus"
202620,"Spring Term 2026",Undergraduate,20457,MATH,2043,001,01,Active,"MATH CONCEPTS II",MWF,"09:00 am-09:50 am",Corley,102,"1 / 25 / 32",1/12/2026,5/6/2026,"Taylor, Teresa L.","MATH 2043 001, CRN-20457",M,,"Russellville On-campus"
202620,"Spring Term 2026",Undergraduate,20458,MATH,2043,TC1,01,Active,"MATH CONCEPTS II",TBA,TBA,Unassigned,Unassigned,"9 / 25 / na",1/12/2026,5/6/2026,"Taylor, Teresa L.","MATH 2043 TC1, CRN-20458",M,"Web Only: Incl Proctored Exams","Russellville - Location Indeterminate"
202620,"Spring Term 2026",Undergraduate,20501,MATH,2223,001,01,Active,"QUANTITATIVE BUSINESS ANALYSIS",MWF,"11:00 am-11:50 am",Corley,103,"12 / 30 / 36",1/12/2026,5/6/2026,"Cox, Allie M.","MATH 2223 001, CRN-20501",M,,"Russellville On-campus"
202620,"Spring Term 2026",Undergraduate,20502,MATH,2223,002,01,Active,"QUANTITATIVE BUSINESS ANALYSIS",TR,"11:00 am-12:20 pm",Corley,103,"5 / 30 / 36",1/12/2026,5/6/2026,"Cox, Allie M.","MATH 2223 002, CRN-20502",M,,"Russellville On-campus"
202620,"Spring Term 2026",Undergraduate,20503,MATH,2223,003,01,Active,"QUANTITATIVE BUSINESS ANALYSIS",MWF,"10:00 am-10:50 am",Corley,103,"14 / 30 / 36",1/12/2026,5/6/2026,"Cox, Allie M.","MATH 2223 003, CRN-20503",M,,"Russellville On-campus"
202620,"Spring Term 2026",Undergraduate,20505,MATH,2223,TC1,01,Active,"QUANTITATIVE BUSINESS ANALYSIS",TBA,TBA,Unassigned,Unassigned,"14 / 30 / na",1/12/2026,5/6/2026,"Cox, Allie M.","MATH 2223 TC1, CRN-20505",M,"Web Only: Incl Proctored Exams","Russellville - Location Indeterminate"
202620,"Spring Term 2026",Undergraduate,20528,MATH,2243,001,01,Active,CALCULUS-BUSINESS/ECON,MWF,"01:00 pm-01:50 pm",Corley,104,"15 / 30 / 36",1/12/2026,5/6/2026,"Overduin, Matthew D.","MATH 2243 001, CRN-20528",M,,"Russellville On-campus"
202620,"Spring Term 2026",Undergraduate,20529,MATH,2243,002,01,Active,CALCULUS-BUSINESS/ECON,TR,"09:30 am-10:50 am","Ross Pendergraft Library",220,"4 / 25 / 30",1/12/2026,5/6/2026,"Overduin, Matthew D.","MATH 2243 002, CRN-20529",M,,"Russellville On-campus"
202620,"Spring Term 2026",Undergraduate,20506,MATH,2703,001,01,Active,"DISCRETE MATHEMATICS",MWF,"10:00 am-10:50 am",Corley,101,"5 / 30 / 42",1/12/2026,5/6/2026,"Jordan, Susan M.","MATH 2703 001, CRN-20506",M,,"Russellville On-campus"
202620,"Spring Term 2026",Undergraduate,20520,MATH,2703,002,01,Active,"DISCRETE MATHEMATICS",TR,"11:00 am-12:20 pm",Rothwell,206,"-1 / 30 / 32",1/12/2026,5/6/2026,"Limperis, Thomas G.","MATH 2703 002, CRN-20520",M,,"Russellville On-campus"
202620,"Spring Term 2026",Undergraduate,20530,MATH,2703,TC1,01,Active,"DISCRETE MATHEMATICS",TBA,TBA,Unassigned,Unassigned,"14 / 30 / na",1/12/2026,5/6/2026,"Jordan, Susan M.","MATH 2703 TC1, CRN-20530",M,"Web Only: Incl Proctored Exams","Russellville - Location Indeterminate"
202620,"Spring Term 2026",Undergraduate,20508,MATH,2914,001,01,Active,"CALCULUS I",MWF,"09:00 am-09:50 am",Corley,101,"3 / 30 / 42",1/12/2026,5/6/2026,"Jordan, Susan M.","MATH 2914 001, CRN-20508",M,,"Russellville On-campus"
202620,"Spring Term 2026",Undergraduate,20508,MATH,2914,001,01,Active,"CALCULUS I",R,"09:30 am-10:50 am",Corley,101,"3 / 30 / 42",1/12/2026,5/6/2026,"Jordan, Susan M.","MATH 2914 001, CRN-20508",M,,"Russellville On-campus"
202620,"Spring Term 2026",Undergraduate,20511,MATH,2914,002,01,Active,"CALCULUS I",R,"01:00 pm-02:20 pm",Corley,101,"17 / 30 / 42",1/12/2026,5/6/2026,"Jordan, Susan M.","MATH 2914 002, CRN-20511",M,,"Russellville On-campus"
202620,"Spring Term 2026",Undergraduate,20511,MATH,2914,002,01,Active,"CALCULUS I",MWF,"01:00 pm-01:50 pm",Corley,101,"17 / 30 / 42",1/12/2026,5/6/2026,"Jordan, Susan M.","MATH 2914 002, CRN-20511",M,,"Russellville On-campus"
202620,"Spring Term 2026",Undergraduate,20513,MATH,2914,003,01,Canceled,"CALCULUS I",MWF,"02:00 pm-02:50 pm",Corley,101,"30 / 30 / 42",1/12/2026,5/6/2026,Staff,"MATH 2914 003, CRN-20513",M,,"Russellville On-campus"
202620,"Spring Term 2026",Undergraduate,20513,MATH,2914,003,01,Canceled,"CALCULUS I",R,"02:30 pm-03:50 pm",Corley,101,"30 / 30 / 42",1/12/2026,5/6/2026,Staff,"MATH 2914 003, CRN-20513",M,,"Russellville On-campus"
