"Term_Code","Term_Desc","Level","CRN","Subject","Number","Section","Session","Course_Status","Title","Meeting_Days","Meeting_Times","Building","Room","Seats_Avail","Start_Date","End_Date","Instructor","course_id","Campus","Delivery_Method","LOCATION"
202670,"Fall Term 2026",Undergraduate,70271,MATH,1113,010,01,Active,"COLLEGE ALGEBRA",MWF,"11:00 am-11:50 am",Corley,104,"-32 / 0 / 36",8/19/2026,12/11/2026,"Cox, Allie M.","MATH 1113 010, CRN-70271",M,,"Russellville On-campus"
202670,"Fall Term 2026",Undergraduate,70273,MATH,1113,011,01,Active,"COLLEGE ALGEBRA",TR,"09:30 am-10:50 am",Corley,104,"0 / 31 / 36",8/19/2026,12/11/2026,"Cox, Allie M.","MATH 1113 011, CRN-70273",M,,"Russellville On-campus"
202670,"Fall Term 2026",Undergraduate,70279,MATH,1113,012,01,Active,"COLLEGE ALGEBRA",MWF,"09:00 am-09:50 am",Corley,267,"0 / 30 / 40",8/19/2026,12/11/2026,"Yousuf, Marium","MATH 1113 012, CRN-70279",M,,"Russellville On-campus"
202670,"Fall Term 2026",Undergraduate,72080,MATH,1113,013,01,Active,"COLLEGE ALGEBRA",MWF,"11:00 am-11:50 am","Ross Pendergraft Library",334,"9 / 30 / 36",8/19/2026,12/11/2026,"Yousuf, Marium","MATH 1113 013, CRN-72080",M,,"Russellville On-campus"
202670,"Fall Term 2026",Undergraduate,70280,MATH,1113,014,01,Active,"COLLEGE ALGEBRA",MWF,"01:00 pm-01:50 pm",Rothwell,213,"0 / 30 / 40",8/19/2026,12/11/2026,"King, Jamie L.","MATH 1113 014, CRN-70280",M,,"Russellville On-campus"
202670,"Fall Term 2026",Undergraduate,71086,MATH,1113,A01,01,Active,"COLLEGE ALGEBRA",MW,"09:30 am-10:50 am","Ozark Collegiate Center",109,"7 / 23 / 30",8/19/2026,12/11/2026,"Koone, Shelley D.","MATH 1113 A01, CRN-71086",M,,"Ozark On-campus"
202670,"Fall Term 2026",Undergraduate,71868,MATH,1113,ET1,01,Active,"COLLEGE ALGEBRA",TBA,TBA,"Multiple High Schools (ET)",ET,"15 / 63 / 99999",8/19/2026,12/11/2026,"Ridenour, Anna M.","MATH 1113 ET1, CRN-71868",M,"Web Only: Incl Proctored Exams","High School"
202670,"Fall Term 2026",Undergraduate,71870,MATH,1113,ET2,01,Active,"COLLEGE ALGEBRA",TBA,TBA,"Multiple High Schools (ET)",ET,"8 / 80 / 99999",8/19/2026,12/11/2026,"Singleton, Brit P.","MATH 1113 ET2, CRN-71870",M,"Web Only: Incl Proctored Exams","High School"
202670,"Fall Term 2026",Undergraduate,71787,MATH,1113,P01,01,Active,"COLLEGE ALGEBRA",TBA,TBA,"Dover High School",DHS,"3 / 35 / 99999",8/19/2026,12/11/2026,"Sumners, Jon T.","MATH 1113 P01, CRN-71787",M,,"High School"
202670,"Fall Term 2026",Undergraduate,71790,MATH,1113,P02,01,Active,"COLLEGE ALGEBRA",TBA,TBA,"Alma High School",AHS,"-2 / 26 / 99999",8/19/2026,12/11/2026,"Bean, Garin","MATH 1113 P02, CRN-71790",M,,"High School"
