Subject,Number,Section,Type,Title,Credits,Instructor,Delivery Mode,Scheduling Status,Time Slot,Duration,Days,Start,End,Building,Room,Cross-List,CRN,Seats Available,Source Row
STAT,2163,001,,INTRO/STATISTICAL METHODS,,"King, Jamie L.",in_person,scheduled,MWF 10:00am,50,MWF,10:00:00,10:50:00,Rothwell,221,,20465,1 / 30 / 50,113
STAT,2163,002,,INTRO/STATISTICAL METHODS,,"Bain, Leslie M.",in_person,scheduled,MWF 9:00am,50,MWF,09:00:00,09:50:00,Corley,104,,20490,3 / 31 / 36,114
STAT,2163,003,,INTRO/STATISTICAL METHODS,,"Bain, Leslie M.",in_person,scheduled,TR 1:00pm,80,TR,13:00:00,14:20:00,Corley,104,,20492,2 / 30 / 36,115
STAT,2163,P01,,INTRO/STATISTICAL METHODS,,"Holland, Jeremy K.",arranged,unscheduled,,,,,,Greenwood High School,GHS,,21132,-1 / 22 / 99999,116
STAT,2163,P02,,INTRO/STATISTICAL METHODS,,"Hubbard, Evan D.",arranged,unscheduled,,,,,,Prairie Grove High School,PGHS,,21139,-1 / 38 / 999,117
STAT,2163,P03,,INTRO/STATISTICAL METHODS,,"Holland, Jeremy K.",arranged,unscheduled,,,,,,Greenwood High School,GHS,,21893,1 / 21 / 99999,118
STAT,2163,TC1,,INTRO/STATISTICAL METHODS,,"Bain, Leslie M.",arranged,unscheduled,,,,,,,,,20493,7 / 31 / na,119
STAT,2163,TC2,,INTRO/STATISTICAL METHODS,,"Bain, Leslie M.",arranged,unscheduled,,,,,,,,,20494,13 / 32 / na,120
STAT,3113,001,,REGRESSION ANALYSIS,,"Xiao, Xinli",in_person,scheduled,MWF 11:00am,50,MWF,11:00:00,11:50:00,Rothwell,213,,20449,15 / 30 / 40,121
STAT,3153,001,,APPLIED STATISTICS,,"Jordan, Scott M.",in_person,scheduled,MWF 9:00am,50,MWF,09:00:00,09:50:00,Rothwell,207,,20532,-1 / 30 / 43,122
STAT,3153,002,,APPLIED STATISTICS,,"Jordan, Scott M.",in_person,scheduled,MWF 11:00am,50,MWF,11:00:00,11:50:00,Corley,102,,20533,5 / 30 / 32,123
STAT,3183,001,,STATISTICAL PROCESS CONTROL,,"Jordan, Scott M.",in_person,scheduled,MWF 1:00pm,50,MWF,13:00:00,13:50:00,Rothwell,213,,20534,1 / 32 / 40,124
STAT,4173,TC1,,ADVANCED BIOSTATISTICS,,"Jordan, Scott M.",arranged,unscheduled,,,,,,,,,20535,5 / 15 / na,125
